Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
MRPL,Mangalore Refinery and Petrochemicals Limited,Small Cap,Oil Gas & Consumable Fuels,INE103A01014,07-JAN-2005,Nifty Smallcap 250
MEESHO,Meesho Limited,Small Cap,Consumer Services,INE0VDM01015,10-DEC-2025,Nifty Smallcap 250
MINDACORP,Minda Corporation Limited,Small Cap,Automobile and Auto Components,INE842C01021,16-OCT-2014,Nifty Smallcap 250
MSUMI,Motherson Sumi Wiring India Limited,Small Cap,Automobile and Auto Components,INE0FS801015,28-MAR-2022,Nifty Smallcap 250
NATCOPHARM,Natco Pharma Limited,Small Cap,Healthcare,INE987B01026,27-DEC-1995,Nifty Smallcap 250
NBCC,NBCC (India) Limited,Small Cap,Construction,INE095N01031,12-APR-2012,Nifty Smallcap 250
NCC,NCC Limited,Small Cap,Construction,INE868B01028,14-OCT-2003,Nifty Smallcap 250
NSLNISP,NMDC Steel Limited,Small Cap,Metals & Mining,INE0NNS01018,20-FEB-2023,Nifty Smallcap 250
NH,Narayana Hrudayalaya Ltd.,Small Cap,Healthcare,INE410P01011,06-JAN-2016,Nifty Smallcap 250
NAVA,NAVA LIMITED,Small Cap,Power,INE725A01030,03-APR-1996,Nifty Smallcap 250
NAVINFLUOR,Navin Fluorine International Limited,Small Cap,Chemicals,INE048G01026,01-JUN-2007,Nifty Smallcap 250
NETWEB,Netweb Technologies India Limited,Small Cap,Information Technology,INE0NT901020,27-JUL-2023,Nifty Smallcap 250
NEULANDLAB,Neuland Laboratories Limited,Small Cap,Healthcare,INE794A01010,13-OCT-2008,Nifty Smallcap 250
NEWGEN,Newgen Software Technologies Limited,Small Cap,Information Technology,INE619B01017,29-JAN-2018,Nifty Smallcap 250
NIVABUPA,Niva Bupa Health Insurance Company Limited,Small Cap,Financial Services,INE995S01015,14-NOV-2024,Nifty Smallcap 250
NUVAMA,Nuvama Wealth Management Limited,Small Cap,Financial Services,INE531F01023,26-SEP-2023,Nifty Smallcap 250
NUVOCO,Nuvoco Vistas Corporation Limited,Small Cap,Construction Materials,INE118D01016,23-AUG-2021,Nifty Smallcap 250
OLAELEC,Ola Electric Mobility Limited,Small Cap,Automobile and Auto Components,INE0LXG01040,09-AUG-2024,Nifty Smallcap 250
OLECTRA,Olectra Greentech Limited,Small Cap,Automobile and Auto Components,INE260D01016,20-MAR-2002,Nifty Smallcap 250
ONESOURCE,Onesource Specialty Pharma Limited,Small Cap,Healthcare,INE013P01021,24-JAN-2025,Nifty Smallcap 250
PCBL,PCBL Chemical Limited,Small Cap,Chemicals,INE602A01031,29-MAR-1995,Nifty Smallcap 250
PGEL,PG Electroplast Limited,Small Cap,Consumer Durables,INE457L01029,26-SEP-2011,Nifty Smallcap 250
PNBHOUSING,PNB Housing Finance Limited,Small Cap,Financial Services,INE572E01012,07-NOV-2016,Nifty Smallcap 250
PTCIL,PTC Industries Limited,Small Cap,Capital Goods,INE596F01018,09-JUN-2023,Nifty Smallcap 250
PVRINOX,PVR INOX Limited,Small Cap,Media Entertainment & Publication,INE191H01014,04-JAN-2006,Nifty Smallcap 250
PARADEEP,Paradeep Phosphates Limited,Small Cap,Chemicals,INE088F01024,27-MAY-2022,Nifty Smallcap 250
PFIZER,Pfizer Limited,Small Cap,Healthcare,INE182A01018,28-APR-1999,Nifty Smallcap 250
PWL,Physicswallah Limited,Small Cap,Consumer Services,INE0LP301011,18-NOV-2025,Nifty Smallcap 250
PINELABS,Pine Labs Limited,Small Cap,Financial Services,INE15B701018,14-NOV-2025,Nifty Smallcap 250
PIRAMALFIN,Piramal Finance Limited,Small Cap,Financial Services,INE202B01038,07-NOV-2025,Nifty Smallcap 250
PPLPHARMA,Piramal Pharma Limited,Small Cap,Healthcare,INE0DK501011,19-OCT-2022,Nifty Smallcap 250
POLYMED,Poly Medicure Limited,Small Cap,Healthcare,INE205C01021,07-DEC-2011,Nifty Smallcap 250
POONAWALLA,Poonawalla Fincorp Limited,Small Cap,Financial Services,INE511C01022,27-APR-2004,Nifty Smallcap 250
RRKABEL,R R Kabel Limited,Small Cap,Capital Goods,INE777K01022,20-SEP-2023,Nifty Smallcap 250
RBLBANK,RBL Bank Limited,Small Cap,Financial Services,INE976G01028,31-AUG-2016,Nifty Smallcap 250
RHIM,RHI MAGNESITA INDIA LIMITED,Small Cap,Capital Goods,INE743M01012,12-MAR-2012,Nifty Smallcap 250
RITES,RITES Limited,Small Cap,Construction,INE320J01015,02-JUL-2018,Nifty Smallcap 250
RAILTEL,Railtel Corporation Of India Limited,Small Cap,Telecommunication,INE0DD101019,26-FEB-2021,Nifty Smallcap 250
RAINBOW,Rainbow Childrens Medicare Limited,Small Cap,Healthcare,INE961O01016,10-MAY-2022,Nifty Smallcap 250
RKFORGE,Ramkrishna Forgings Limited,Small Cap,Automobile and Auto Components,INE399G01023,05-MAY-2004,Nifty Smallcap 250
REDINGTON,Redington Limited,Small Cap,Services,INE891D01026,15-FEB-2007,Nifty Smallcap 250
RPOWER,Reliance Power Limited,Small Cap,Power,INE614G01033,11-FEB-2008,Nifty Smallcap 250
SBFC,SBFC Finance Limited,Small Cap,Financial Services,INE423Y01016,16-AUG-2023,Nifty Smallcap 250
SAGILITY,SAGILITY LIMITED,Small Cap,Information Technology,INE0W2G01015,12-NOV-2024,Nifty Smallcap 250
SAILIFE,Sai Life Sciences Limited,Small Cap,Healthcare,INE570L01029,18-DEC-2024,Nifty Smallcap 250
SAMMAANCAP,Sammaan Capital Limited,Small Cap,Financial Services,INE148I01020,23-JUL-2013,Nifty Smallcap 250
SAPPHIRE,Sapphire Foods India Limited,Small Cap,Consumer Services,INE806T01020,18-NOV-2021,Nifty Smallcap 250
SARDAEN,Sarda Energy & Minerals Limited,Small Cap,Metals & Mining,INE385C01021,03-DEC-2009,Nifty Smallcap 250
SAREGAMA,Saregama India Limited,Small Cap,Media Entertainment & Publication,INE979A01025,30-JUL-1997,Nifty Smallcap 250
SCHNEIDER,Schneider Electric Infrastructure Limited,Small Cap,Capital Goods,INE839M01018,20-MAR-2012,Nifty Smallcap 250
SCI,Shipping Corporation Of India Limited,Small Cap,Services,INE109A01011,13-AUG-1997,Nifty Smallcap 250
SHYAMMETL,Shyam Metalics and Energy Limited,Small Cap,Capital Goods,INE810G01011,24-JUN-2021,Nifty Smallcap 250
SIGNATURE,Signatureglobal (India) Limited,Small Cap,Realty,INE903U01023,27-SEP-2023,Nifty Smallcap 250
SOBHA,Sobha Limited,Small Cap,Realty,INE671H01015,20-DEC-2006,Nifty Smallcap 250
SONACOMS,Sona BLW Precision Forgings Limited,Small Cap,Automobile and Auto Components,INE073K01018,24-JUN-2021,Nifty Smallcap 250
SONATSOFTW,Sonata Software Limited,Small Cap,Information Technology,INE269A01021,28-JUL-1999,Nifty Smallcap 250
STARHEALTH,Star Health and Allied Insurance Company Limited,Small Cap,Financial Services,INE575P01011,10-DEC-2021,Nifty Smallcap 250
SUMICHEM,Sumitomo Chemical India Limited,Small Cap,Chemicals,INE258G01013,27-JAN-2020,Nifty Smallcap 250
