Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
TMPV,Tata Motors Passenger Vehicles Limited,Large Cap,Automobile and Auto Components,INE155A01022,22-JUL-1998,Nifty 100
TATAPOWER,Tata Power Company Limited,Large Cap,Power,INE245A01021,03-APR-1996,Nifty 100
TATASTEEL,Tata Steel Limited,Large Cap,Metals & Mining,INE081A01020,18-NOV-1998,Nifty 100
TECHM,Tech Mahindra Limited,Large Cap,Information Technology,INE669C01036,28-AUG-2006,Nifty 100
TITAN,Titan Company Limited,Large Cap,Consumer Durables,INE280A01028,24-SEP-2004,Nifty 100
TORNTPHARM,Torrent Pharmaceuticals Limited,Large Cap,Healthcare,INE685A01028,25-NOV-2002,Nifty 100
TRENT,Trent Limited,Large Cap,Consumer Services,INE849A01020,07-JUN-2004,Nifty 100
ULTRACEMCO,UltraTech Cement Limited,Large Cap,Construction Materials,INE481G01011,24-AUG-2004,Nifty 100
UNIONBANK,Union Bank of India,Large Cap,Financial Services,INE692A01016,24-SEP-2002,Nifty 100
UNITDSPR,United Spirits Limited,Large Cap,Fast Moving Consumer Goods,INE854D01024,27-SEP-2001,Nifty 100
VBL,Varun Beverages Limited,Large Cap,Fast Moving Consumer Goods,INE200M01039,08-NOV-2016,Nifty 100
VEDL,Vedanta Limited,Large Cap,Metals & Mining,INE205A01025,13-MAY-1998,Nifty 100
WIPRO,Wipro Limited,Large Cap,Information Technology,INE075A01022,08-NOV-1995,Nifty 100
