Symbol,Company Name,Cap Category,Sector,ISIN,Date of Listing,Index Source
AMRUTANJAN,Amrutanjan Health Care Limited,Micro Cap,Healthcare & Pharma,INE098F01031,02-JAN-2015,EQUITY_L (beyond Nifty 500)
ANDHRAPAP,ANDHRA PAPER LIMITED,Micro Cap,Paper & Packaging,INE435A01051,13-MAY-2004,EQUITY_L (beyond Nifty 500)
ANDHRSUGAR,The Andhra Sugars Limited,Micro Cap,FMCG & Consumer Goods,INE715B01021,01-NOV-1995,EQUITY_L (beyond Nifty 500)
ANIKINDS,Anik Industries Limited,Micro Cap,Others / Diversified,INE087B01017,21-MAY-2008,EQUITY_L (beyond Nifty 500)
ANKITMETAL,Ankit Metal & Power Limited,Micro Cap,Metals & Mining,INE106I01010,14-MAR-2013,EQUITY_L (beyond Nifty 500)
ANMOL,Anmol India Limited,Micro Cap,Others / Diversified,INE02AR01019,04-JUN-2021,EQUITY_L (beyond Nifty 500)
ANSALAPI,Ansal Properties & Infrastructure Limited,Micro Cap,Construction & Infrastructure,INE436A01026,27-JAN-2006,EQUITY_L (beyond Nifty 500)
ANTELOPUS,Antelopus Selan Energy Limited,Micro Cap,Others / Diversified,INE818A01017,26-SEP-2006,EQUITY_L (beyond Nifty 500)
ANTGRAPHIC,Antarctica Limited,Micro Cap,Others / Diversified,INE414B01021,31-DEC-1997,EQUITY_L (beyond Nifty 500)
ANUHPHR,Anuh Pharma Limited,Micro Cap,Healthcare & Pharma,INE489G01022,20-DEC-2024,EQUITY_L (beyond Nifty 500)
ANUP,The Anup Engineering Limited,Micro Cap,Capital Goods,INE294Z01018,01-MAR-2019,Nifty Microcap 250
APCL,Anjani Portland Cement Limited,Micro Cap,Logistics & Transportation,INE071F01012,10-APR-2017,EQUITY_L (beyond Nifty 500)
APCOTEXIND,Apcotex Industries Limited,Micro Cap,Others / Diversified,INE116A01032,06-SEP-1995,EQUITY_L (beyond Nifty 500)
APEX,Apex Frozen Foods Limited,Micro Cap,FMCG & Consumer Goods,INE346W01013,04-SEP-2017,EQUITY_L (beyond Nifty 500)
APLLTD,Alembic Pharmaceuticals Limited,Micro Cap,Healthcare,INE901L01018,20-SEP-2011,Nifty Microcap 250
APOLLO,Apollo Micro Systems Limited,Micro Cap,Capital Goods,INE713T01028,22-JAN-2018,Nifty Microcap 250
APOLLOPIPE,Apollo Pipes Limited,Micro Cap,Others / Diversified,INE126J01016,11-NOV-2019,EQUITY_L (beyond Nifty 500)
APOLSINHOT,Apollo Sindoori Hotels Limited,Micro Cap,Retail & Consumer Services,INE451F01024,28-JAN-2015,EQUITY_L (beyond Nifty 500)
APTECHT,Aptech Limited,Micro Cap,Information Technology,INE266F01018,27-SEP-2002,EQUITY_L (beyond Nifty 500)
AQYLON,Aqylon Nexus Limited,Micro Cap,Others / Diversified,INE416A01051,01-APR-2024,EQUITY_L (beyond Nifty 500)
ARCHIDPLY,Archidply Industries Limited,Micro Cap,Others / Diversified,INE877I01016,04-JUL-2008,EQUITY_L (beyond Nifty 500)
ARCHIES,Archies Limited,Micro Cap,Others / Diversified,INE731A01020,02-SEP-1998,EQUITY_L (beyond Nifty 500)
ARENTERP,Rajdarshan Industries Limited,Micro Cap,Others / Diversified,INE610C01014,18-OCT-1995,EQUITY_L (beyond Nifty 500)
ARFIN,Arfin India Limited,Micro Cap,Others / Diversified,INE784R01023,22-JUL-2025,EQUITY_L (beyond Nifty 500)
ARIES,Aries Agro Limited,Micro Cap,Agriculture,INE298I01015,11-JAN-2008,EQUITY_L (beyond Nifty 500)
ARIHANT,Arihant Foundations & Housing Limited,Micro Cap,Real Estate,INE413D01011,20-APR-2026,EQUITY_L (beyond Nifty 500)
ARIHANTCAP,Arihant Capital Markets Limited,Micro Cap,Financial Services,INE420B01036,15-JUN-2021,EQUITY_L (beyond Nifty 500)
ARIHANTSUP,Arihant Superstructures Limited,Micro Cap,Others / Diversified,INE643K01018,28-MAR-2017,EQUITY_L (beyond Nifty 500)
ARIS,Arisinfra Solutions Limited,Micro Cap,Construction & Infrastructure,INE0H9P01028,25-JUN-2025,EQUITY_L (beyond Nifty 500)
